id;title;jhi_desc;price;updated_at;is_deleted
1;Card Manager program;Lake;83904;2023-02-08T13:38:56;false
2;Causeway;Krone Re-contextualized e-enable;6686;2023-02-07T20:52:57;true
3;Table;Rustic architect;60544;2023-02-08T06:50:38;false
4;intermediate compelling;magnetic Refined;78569;2023-02-08T12:44:40;false
5;Brazilian;Programmable deposit;56348;2023-02-07T16:54:15;true
6;ability deposit;Ohio navigate drive;32418;2023-02-07T19:15:16;false
7;Account matrix Officer;payment Borders dot-com;15031;2023-02-07T15:53:56;true
8;Account Supervisor;Personal grey;47795;2023-02-07T21:19:03;false
9;Dinar initiatives;Square;98780;2023-02-08T05:22:48;true
10;incentivize Unbranded Savings;program motivating;2305;2023-02-08T08:00:43;true
